"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","SRR1617632__prok","SRR1656267_prok","SRR1656269__prok","SRR1656335__prok","SRR1656350__prok","SRR2164311__prok","SRR2167785_prok","SRR2171381__prok","SRR2171418__prok","SRR3954738__prok","SRR3954739__prok","SRR3954741__prok","SRR3954742__prok","SRR3954743__prok","SRR3954744__prok","SRR3954745__prok","SRR3954747__prok","SRR4420705__prok"
"iscS_2","","Cysteine desulfurase IscS","18","18","1","1","5755","","","","1142","1226","1151","SRR1617632__prok_01206","SRR1656267_prok_00504","SRR1656269__prok_01661","SRR1656335__prok_00961","SRR1656350__prok_00933","SRR2164311__prok_01165","SRR2167785_prok_03352","SRR2171381__prok_00884","SRR2171418__prok_03784","SRR3954738__prok_01928","SRR3954739__prok_01197","SRR3954741__prok_02498","SRR3954742__prok_02169","SRR3954743__prok_01205","SRR3954744__prok_00236","SRR3954745__prok_00628","SRR3954747__prok_03369","SRR4420705__prok_00776"
"nadK","","NAD kinase","18","18","1","1","5749","","","","803","803","803","SRR1617632__prok_01212","SRR1656267_prok_00510","SRR1656269__prok_01667","SRR1656335__prok_00955","SRR1656350__prok_00927","SRR2164311__prok_01159","SRR2167785_prok_03346","SRR2171381__prok_00890","SRR2171418__prok_03778","SRR3954738__prok_01922","SRR3954739__prok_01191","SRR3954741__prok_02492","SRR3954742__prok_02163","SRR3954743__prok_01199","SRR3954744__prok_00242","SRR3954745__prok_00622","SRR3954747__prok_03363","SRR4420705__prok_00782"
"group_3604","","hypothetical protein","18","18","1","1","5745","","","","986","986","986","SRR1617632__prok_01216","SRR1656267_prok_00514","SRR1656269__prok_01671","SRR1656335__prok_00951","SRR1656350__prok_00923","SRR2164311__prok_01155","SRR2167785_prok_03342","SRR2171381__prok_00894","SRR2171418__prok_03774","SRR3954738__prok_01918","SRR3954739__prok_01187","SRR3954741__prok_02488","SRR3954742__prok_02159","SRR3954743__prok_01195","SRR3954744__prok_00246","SRR3954745__prok_00618","SRR3954747__prok_03359","SRR4420705__prok_00788"
"group_3605","","hypothetical protein","18","18","1","1","5577","","","","833","833","833","SRR1617632__prok_01220","SRR1656267_prok_00518","SRR1656269__prok_01675","SRR1656335__prok_00691","SRR1656350__prok_00919","SRR2164311__prok_01151","SRR2167785_prok_03339","SRR2171381__prok_00898","SRR2171418__prok_03771","SRR3954738__prok_01914","SRR3954739__prok_01183","SRR3954741__prok_02484","SRR3954742__prok_02155","SRR3954743__prok_01191","SRR3954744__prok_00250","SRR3954745__prok_00614","SRR3954747__prok_03355","SRR4420705__prok_00624"
"group_3606","","hypothetical protein","18","18","1","1","5576","","","","662","662","662","SRR1617632__prok_01221","SRR1656267_prok_00519","SRR1656269__prok_01676","SRR1656335__prok_00692","SRR1656350__prok_00918","SRR2164311__prok_01150","SRR2167785_prok_03338","SRR2171381__prok_00899","SRR2171418__prok_03770","SRR3954738__prok_01913","SRR3954739__prok_01182","SRR3954741__prok_02483","SRR3954742__prok_02154","SRR3954743__prok_01190","SRR3954744__prok_00251","SRR3954745__prok_00613","SRR3954747__prok_03354","SRR4420705__prok_00623"
"group_3607","","hypothetical protein","18","18","1","1","5569","","","","179","179","179","SRR1617632__prok_01227","SRR1656267_prok_00526","SRR1656269__prok_01683","SRR1656335__prok_00699","SRR1656350__prok_00911","SRR2164311__prok_01144","SRR2167785_prok_03331","SRR2171381__prok_00906","SRR2171418__prok_03763","SRR3954738__prok_01906","SRR3954739__prok_01175","SRR3954741__prok_02476","SRR3954742__prok_02147","SRR3954743__prok_01183","SRR3954744__prok_00258","SRR3954745__prok_00606","SRR3954747__prok_03347","SRR4420705__prok_00616"
"lysN_1","","2-aminoadipate transaminase","18","18","1","1","8102","","","","1433","1433","1433","SRR1617632__prok_02457","SRR1656267_prok_01864","SRR1656269__prok_01539","SRR1656335__prok_05325","SRR1656350__prok_03874","SRR2164311__prok_02331","SRR2167785_prok_01075","SRR2171381__prok_00237","SRR2171418__prok_01074","SRR3954738__prok_02650","SRR3954739__prok_01655","SRR3954741__prok_03640","SRR3954742__prok_02790","SRR3954743__prok_02783","SRR3954744__prok_01900","SRR3954745__prok_02717","SRR3954747__prok_02047","SRR4420705__prok_03802"
"dnaE","","DNA polymerase III subunit alpha","18","18","1","1","5532","","","","3323","3326","3325","SRR1617632__prok_01255","SRR1656267_prok_00548","SRR1656269__prok_01705","SRR1656335__prok_00726","SRR1656350__prok_00884","SRR2164311__prok_01116","SRR2167785_prok_03616","SRR2171381__prok_00933","SRR2171418__prok_03736","SRR3954738__prok_01878","SRR3954739__prok_01147","SRR3954741__prok_02448","SRR3954742__prok_02119","SRR3954743__prok_01155","SRR3954744__prok_00286","SRR3954745__prok_00578","SRR3954747__prok_03319","SRR4420705__prok_00593"
"lutR_2","","HTH-type transcriptional regulator LutR","18","18","1","1","5530","","","","644","644","644","SRR1617632__prok_01257","SRR1656267_prok_00550","SRR1656269__prok_01707","SRR1656335__prok_00728","SRR1656350__prok_00882","SRR2164311__prok_01114","SRR2167785_prok_03618","SRR2171381__prok_00935","SRR2171418__prok_03734","SRR3954738__prok_01876","SRR3954739__prok_01145","SRR3954741__prok_02446","SRR3954742__prok_02117","SRR3954743__prok_01153","SRR3954744__prok_00288","SRR3954745__prok_00576","SRR3954747__prok_03317","SRR4420705__prok_00591"
"accA","","Acetyl-coenzyme A carboxylase carboxyl transferase subunit alpha","18","18","1","1","5528","","","","974","974","974","SRR1617632__prok_01259","SRR1656267_prok_00552","SRR1656269__prok_01709","SRR1656335__prok_00730","SRR1656350__prok_00880","SRR2164311__prok_01112","SRR2167785_prok_03620","SRR2171381__prok_00937","SRR2171418__prok_03732","SRR3954738__prok_01874","SRR3954739__prok_01143","SRR3954741__prok_02444","SRR3954742__prok_02115","SRR3954743__prok_01151","SRR3954744__prok_00290","SRR3954745__prok_00574","SRR3954747__prok_03315","SRR4420705__prok_00589"
"group_3613","","hypothetical protein","18","18","1","1","5524","","","","1118","1118","1118","SRR1617632__prok_01263","SRR1656267_prok_00556","SRR1656269__prok_01713","SRR1656335__prok_00734","SRR1656350__prok_00876","SRR2164311__prok_01108","SRR2167785_prok_03624","SRR2171381__prok_00941","SRR2171418__prok_03728","SRR3954738__prok_01870","SRR3954739__prok_01139","SRR3954741__prok_02440","SRR3954742__prok_02111","SRR3954743__prok_01147","SRR3954744__prok_00294","SRR3954745__prok_00570","SRR3954747__prok_03311","SRR4420705__prok_00585"
"phoP_1","","Alkaline phosphatase synthesis transcriptional regulatory protein PhoP","18","18","1","1","5513","","","","719","719","719","SRR1617632__prok_01271","SRR1656267_prok_00564","SRR1656269__prok_01721","SRR1656335__prok_00742","SRR1656350__prok_00868","SRR2164311__prok_01100","SRR2167785_prok_03632","SRR2171381__prok_00949","SRR2171418__prok_03720","SRR3954738__prok_01862","SRR3954739__prok_01131","SRR3954741__prok_02432","SRR3954742__prok_02103","SRR3954743__prok_01139","SRR3954744__prok_00302","SRR3954745__prok_00562","SRR3954747__prok_03303","SRR4420705__prok_00577"
"group_3616","phoR_2","Alkaline phosphatase synthesis sensor protein PhoR","18","18","1","1","5512","","","","1763","1763","1763","SRR1617632__prok_01272","SRR1656267_prok_00565","SRR1656269__prok_01722","SRR1656335__prok_00743","SRR1656350__prok_00867","SRR2164311__prok_01099","SRR2167785_prok_03633","SRR2171381__prok_00950","SRR2171418__prok_03719","SRR3954738__prok_01861","SRR3954739__prok_01130","SRR3954741__prok_02431","SRR3954742__prok_02102","SRR3954743__prok_01138","SRR3954744__prok_00303","SRR3954745__prok_00561","SRR3954747__prok_03302","SRR4420705__prok_00576"
"dnaB","","Replication initiation and membrane attachment protein","18","18","1","1","5504","","","","1406","1409","1406","SRR1617632__prok_01281","SRR1656267_prok_00573","SRR1656269__prok_01730","SRR1656335__prok_00751","SRR1656350__prok_00859","SRR2164311__prok_01090","SRR2167785_prok_03641","SRR2171381__prok_00958","SRR2171418__prok_03711","SRR3954738__prok_01853","SRR3954739__prok_01122","SRR3954741__prok_02423","SRR3954742__prok_02094","SRR3954743__prok_01130","SRR3954744__prok_00311","SRR3954745__prok_00553","SRR3954747__prok_03294","SRR4420705__prok_00568"
"group_3618","","hypothetical protein","18","18","1","1","5502","","","","881","881","881","SRR1617632__prok_01283","SRR1656267_prok_00576","SRR1656269__prok_01733","SRR1656335__prok_00753","SRR1656350__prok_00857","SRR2164311__prok_01088","SRR2167785_prok_03643","SRR2171381__prok_00960","SRR2171418__prok_03709","SRR3954738__prok_01851","SRR3954739__prok_01120","SRR3954741__prok_02421","SRR3954742__prok_02092","SRR3954743__prok_01128","SRR3954744__prok_00313","SRR3954745__prok_00551","SRR3954747__prok_03292","SRR4420705__prok_00565"
"emrK","","putative multidrug resistance protein EmrK","18","18","1","1","5493","","","","653","653","653","SRR1617632__prok_01291","SRR1656267_prok_00584","SRR1656269__prok_01741","SRR1656335__prok_00761","SRR1656350__prok_00849","SRR2164311__prok_01080","SRR2167785_prok_03651","SRR2171381__prok_00968","SRR2171418__prok_03701","SRR3954738__prok_01843","SRR3954739__prok_01112","SRR3954741__prok_02413","SRR3954742__prok_02084","SRR3954743__prok_01120","SRR3954744__prok_00321","SRR3954745__prok_00543","SRR3954747__prok_03284","SRR4420705__prok_00557"
"group_362","","hypothetical protein","18","18","1","1","8052","","","","593","596","595","SRR1617632__prok_02487","SRR1656267_prok_01832","SRR1656269__prok_01507","SRR1656335__prok_01238","SRR1656350__prok_03544","SRR2164311__prok_02361","SRR2167785_prok_01043","SRR2171381__prok_00209","SRR2171418__prok_01106","SRR3954738__prok_02621","SRR3954739__prok_01626","SRR3954741__prok_03669","SRR3954742__prok_02819","SRR3954743__prok_02812","SRR3954744__prok_01929","SRR3954745__prok_02746","SRR3954747__prok_02076","SRR4420705__prok_04640"
"group_3620","","hypothetical protein","18","18","1","1","5491","","","","557","557","557","SRR1617632__prok_01294","SRR1656267_prok_00586","SRR1656269__prok_01743","SRR1656335__prok_00769","SRR1656350__prok_00841","SRR2164311__prok_01077","SRR2167785_prok_03659","SRR2171381__prok_00974","SRR2171418__prok_03693","SRR3954738__prok_01837","SRR3954739__prok_01106","SRR3954741__prok_02407","SRR3954742__prok_02078","SRR3954743__prok_01114","SRR3954744__prok_00327","SRR3954745__prok_00537","SRR3954747__prok_03278","SRR4420705__prok_00555"
"group_3621","","Putative TrmH family tRNA/rRNA methyltransferase","18","18","1","1","5489","","","","797","797","797","SRR1617632__prok_01296","SRR1656267_prok_00588","SRR1656269__prok_01745","SRR1656335__prok_00771","SRR1656350__prok_00839","SRR2164311__prok_01075","SRR2167785_prok_03661","SRR2171381__prok_00976","SRR2171418__prok_03691","SRR3954738__prok_01835","SRR3954739__prok_01104","SRR3954741__prok_02405","SRR3954742__prok_02076","SRR3954743__prok_01112","SRR3954744__prok_00329","SRR3954745__prok_00535","SRR3954747__prok_03276","SRR4420705__prok_00553"
"rnhC","","Ribonuclease HIII","18","18","1","1","5482","","","","935","935","935","SRR1617632__prok_01302","SRR1656267_prok_00594","SRR1656269__prok_01751","SRR1656335__prok_00778","SRR1656350__prok_00832","SRR2164311__prok_01069","SRR2167785_prok_03668","SRR2171381__prok_00983","SRR2171418__prok_03684","SRR3954738__prok_01828","SRR3954739__prok_01097","SRR3954741__prok_02398","SRR3954742__prok_02069","SRR3954743__prok_01105","SRR3954744__prok_00336","SRR3954745__prok_00528","SRR3954747__prok_03269","SRR4420705__prok_00547"
"brnQ_1","","Branched-chain amino acid transport system 2 carrier protein","18","18","1","1","5475","","","","1325","1325","1325","SRR1617632__prok_01309","SRR1656267_prok_00601","SRR1656269__prok_01758","SRR1656335__prok_00785","SRR1656350__prok_00825","SRR2164311__prok_01062","SRR2167785_prok_03675","SRR2171381__prok_00990","SRR2171418__prok_03677","SRR3954738__prok_01822","SRR3954739__prok_01091","SRR3954741__prok_02392","SRR3954742__prok_02063","SRR3954743__prok_01099","SRR3954744__prok_00342","SRR3954745__prok_00522","SRR3954747__prok_03263","SRR4420705__prok_00541"
"fadB","","putative enoyl-CoA hydratase","18","18","1","1","5444","","","","776","776","776","SRR1617632__prok_01332","SRR1656267_prok_00628","SRR1656269__prok_01785","SRR1656335__prok_00807","SRR1656350__prok_00803","SRR2164311__prok_01039","SRR2167785_prok_03700","SRR2171381__prok_01016","SRR2171418__prok_03652","SRR3954738__prok_01796","SRR3954739__prok_01065","SRR3954741__prok_02366","SRR3954742__prok_02037","SRR3954743__prok_01073","SRR3954744__prok_00368","SRR3954745__prok_00938","SRR3954747__prok_03237","SRR4420705__prok_01600"
"aqpZ","","Aquaporin Z 2","18","18","1","1","5426","","","","665","665","665","SRR1617632__prok_01349","SRR1656267_prok_00645","SRR1656269__prok_01802","SRR1656335__prok_00824","SRR1656350__prok_00786","SRR2164311__prok_01021","SRR2167785_prok_03717","SRR2171381__prok_01033","SRR2171418__prok_00887","SRR3954738__prok_01779","SRR3954739__prok_01048","SRR3954741__prok_02349","SRR3954742__prok_02020","SRR3954743__prok_01056","SRR3954744__prok_00385","SRR3954745__prok_00921","SRR3954747__prok_03220","SRR4420705__prok_01583"
"group_3638","","hypothetical protein","18","18","1","1","5375","","","","638","638","638","SRR1617632__prok_01389","SRR1656267_prok_00653","SRR1656269__prok_01810","SRR1656335__prok_00833","SRR1656350__prok_00777","SRR2164311__prok_00981","SRR2167785_prok_03726","SRR2171381__prok_01077","SRR2171418__prok_00878","SRR3954738__prok_01760","SRR3954739__prok_01029","SRR3954741__prok_02330","SRR3954742__prok_02001","SRR3954743__prok_01037","SRR3954744__prok_00404","SRR3954745__prok_00902","SRR3954747__prok_03201","SRR4420705__prok_02648"
"gerM","","Spore germination protein GerM","18","18","1","1","5370","","","","1049","1049","1049","SRR1617632__prok_01393","SRR1656267_prok_00657","SRR1656269__prok_01814","SRR1656335__prok_00838","SRR1656350__prok_00772","SRR2164311__prok_00977","SRR2167785_prok_03730","SRR2171381__prok_01081","SRR2171418__prok_00874","SRR3954738__prok_01756","SRR3954739__prok_01025","SRR3954741__prok_02326","SRR3954742__prok_01997","SRR3954743__prok_01033","SRR3954744__prok_00408","SRR3954745__prok_00898","SRR3954747__prok_03197","SRR4420705__prok_02644"
"rdgB","","dITP/XTP pyrophosphatase","18","18","1","1","5368","","","","608","608","608","SRR1617632__prok_01395","SRR1656267_prok_00659","SRR1656269__prok_01816","SRR1656335__prok_00840","SRR1656350__prok_00770","SRR2164311__prok_00975","SRR2167785_prok_03732","SRR2171381__prok_01083","SRR2171418__prok_00872","SRR3954738__prok_01754","SRR3954739__prok_01023","SRR3954741__prok_02324","SRR3954742__prok_01995","SRR3954743__prok_01031","SRR3954744__prok_00410","SRR3954745__prok_00896","SRR3954747__prok_03195","SRR4420705__prok_02642"
"group_3641","","Putative metallophosphoesterase MG207 ","18","18","1","1","5367","","","","503","506","503","SRR1617632__prok_01396","SRR1656267_prok_00660","SRR1656269__prok_01817","SRR1656335__prok_00841","SRR1656350__prok_00769","SRR2164311__prok_00974","SRR2167785_prok_03733","SRR2171381__prok_01084","SRR2171418__prok_00871","SRR3954738__prok_01753","SRR3954739__prok_01022","SRR3954741__prok_02323","SRR3954742__prok_01994","SRR3954743__prok_01030","SRR3954744__prok_00411","SRR3954745__prok_00895","SRR3954747__prok_03194","SRR4420705__prok_02641"
"group_3642","","hypothetical protein","18","18","1","1","5362","","","","200","200","200","SRR1617632__prok_01399","SRR1656267_prok_00663","SRR1656269__prok_01820","SRR1656335__prok_00849","SRR1656350__prok_00761","SRR2164311__prok_00971","SRR2167785_prok_03735","SRR2171381__prok_01087","SRR2171418__prok_00869","SRR3954738__prok_01750","SRR3954739__prok_01019","SRR3954741__prok_02320","SRR3954742__prok_01991","SRR3954743__prok_01027","SRR3954744__prok_00414","SRR3954745__prok_00892","SRR3954747__prok_03191","SRR4420705__prok_02638"
"group_3643","","hypothetical protein","18","18","1","1","5361","","","","182","614","566","SRR1617632__prok_01400","SRR1656267_prok_00664","SRR1656269__prok_01821","SRR1656335__prok_00850","SRR1656350__prok_00760","SRR2164311__prok_00970","SRR2167785_prok_03736","SRR2171381__prok_01088","SRR2171418__prok_00868","SRR3954738__prok_01749","SRR3954739__prok_01018","SRR3954741__prok_02319","SRR3954742__prok_01990","SRR3954743__prok_01026","SRR3954744__prok_00415","SRR3954745__prok_00891","SRR3954747__prok_03190","SRR4420705__prok_02637"
"group_3644","","hypothetical protein","18","18","1","1","5360","","","","101","104","101","SRR1617632__prok_01401","SRR1656267_prok_00665","SRR1656269__prok_01822","SRR1656335__prok_00851","SRR1656350__prok_00759","SRR2164311__prok_00969","SRR2167785_prok_03738","SRR2171381__prok_01090","SRR2171418__prok_00866","SRR3954738__prok_01748","SRR3954739__prok_01017","SRR3954741__prok_02318","SRR3954742__prok_01989","SRR3954743__prok_01025","SRR3954744__prok_00416","SRR3954745__prok_00890","SRR3954747__prok_03189","SRR4420705__prok_02636"
"group_3646","","hypothetical protein","18","18","1","1","5358","","","","998","998","998","SRR1617632__prok_01403","SRR1656267_prok_00667","SRR1656269__prok_01824","SRR1656335__prok_00853","SRR1656350__prok_00758","SRR2164311__prok_00967","SRR2167785_prok_03740","SRR2171381__prok_01092","SRR2171418__prok_00864","SRR3954738__prok_01746","SRR3954739__prok_01015","SRR3954741__prok_02316","SRR3954742__prok_01987","SRR3954743__prok_01023","SRR3954744__prok_00418","SRR3954745__prok_00888","SRR3954747__prok_03187","SRR4420705__prok_02634"
"lon2","","Lon protease 2","18","18","1","1","5355","","","","1523","1673","1664","SRR1617632__prok_01406","SRR1656267_prok_00670","SRR1656269__prok_01827","SRR1656335__prok_00856","SRR1656350__prok_00755","SRR2164311__prok_00964","SRR2167785_prok_03743","SRR2171381__prok_01095","SRR2171418__prok_00861","SRR3954738__prok_01743","SRR3954739__prok_01012","SRR3954741__prok_02313","SRR3954742__prok_01984","SRR3954743__prok_01020","SRR3954744__prok_00421","SRR3954745__prok_00885","SRR3954747__prok_03184","SRR4420705__prok_02264"
"lon1_2","","Lon protease 1","18","18","1","1","5354","","","","2330","2330","2330","SRR1617632__prok_01407","SRR1656267_prok_00671","SRR1656269__prok_01828","SRR1656335__prok_00857","SRR1656350__prok_00754","SRR2164311__prok_00963","SRR2167785_prok_03744","SRR2171381__prok_01096","SRR2171418__prok_00860","SRR3954738__prok_01742","SRR3954739__prok_01011","SRR3954741__prok_02312","SRR3954742__prok_01983","SRR3954743__prok_01019","SRR3954744__prok_00422","SRR3954745__prok_00884","SRR3954747__prok_03183","SRR4420705__prok_02265"
"engB","","putative GTP-binding protein EngB","18","18","1","1","5353","","","","596","596","596","SRR1617632__prok_01408","SRR1656267_prok_00672","SRR1656269__prok_01829","SRR1656335__prok_00858","SRR1656350__prok_00753","SRR2164311__prok_00962","SRR2167785_prok_03745","SRR2171381__prok_01097","SRR2171418__prok_00859","SRR3954738__prok_01741","SRR3954739__prok_01010","SRR3954741__prok_02311","SRR3954742__prok_01982","SRR3954743__prok_01018","SRR3954744__prok_00423","SRR3954745__prok_00883","SRR3954747__prok_03182","SRR4420705__prok_02266"
"group_365","","Limonene hydroxylase","18","18","1","1","7957","","","","638","1661","1604","SRR1617632__prok_02550","SRR1656267_prok_01767","SRR1656269__prok_01443","SRR1656335__prok_01305","SRR1656350__prok_03478","SRR2164311__prok_02424","SRR2167785_prok_00982","SRR2171381__prok_00144","SRR2171418__prok_01167","SRR3954738__prok_02557","SRR3954739__prok_01562","SRR3954741__prok_03733","SRR3954742__prok_02883","SRR3954743__prok_02876","SRR3954744__prok_01993","SRR3954745__prok_04528","SRR3954747__prok_02140","SRR4420705__prok_03659"
"ohrR_1","","Organic hydroperoxide resistance transcriptional regulator","18","18","1","1","5351","","","","452","452","452","SRR1617632__prok_01410","SRR1656267_prok_00674","SRR1656269__prok_01831","SRR1656335__prok_00860","SRR1656350__prok_00751","SRR2164311__prok_00960","SRR2167785_prok_03747","SRR2171381__prok_01099","SRR2171418__prok_00857","SRR3954738__prok_01739","SRR3954739__prok_01008","SRR3954741__prok_02309","SRR3954742__prok_01980","SRR3954743__prok_01016","SRR3954744__prok_00425","SRR3954745__prok_00881","SRR3954747__prok_03180","SRR4420705__prok_02268"
"hemA","","Glutamyl-tRNA reductase","18","18","1","1","5350","","","","1334","1334","1334","SRR1617632__prok_01411","SRR1656267_prok_00675","SRR1656269__prok_01832","SRR1656335__prok_00861","SRR1656350__prok_00750","SRR2164311__prok_00959","SRR2167785_prok_03748","SRR2171381__prok_01100","SRR2171418__prok_00856","SRR3954738__prok_01738","SRR3954739__prok_01007","SRR3954741__prok_02308","SRR3954742__prok_01979","SRR3954743__prok_01015","SRR3954744__prok_00426","SRR3954745__prok_00880","SRR3954747__prok_03179","SRR4420705__prok_02269"
"group_3652","","hypothetical protein","18","18","1","1","5349","","","","833","833","833","SRR1617632__prok_01412","SRR1656267_prok_00676","SRR1656269__prok_01833","SRR1656335__prok_00862","SRR1656350__prok_00749","SRR2164311__prok_00958","SRR2167785_prok_03749","SRR2171381__prok_01101","SRR2171418__prok_00855","SRR3954738__prok_01737","SRR3954739__prok_01006","SRR3954741__prok_02307","SRR3954742__prok_01978","SRR3954743__prok_01014","SRR3954744__prok_00427","SRR3954745__prok_00879","SRR3954747__prok_03178","SRR4420705__prok_02270"
"hemC","","Porphobilinogen deaminase","18","18","1","1","5348","","","","929","929","929","SRR1617632__prok_01413","SRR1656267_prok_00677","SRR1656269__prok_01834","SRR1656335__prok_00863","SRR1656350__prok_00748","SRR2164311__prok_00957","SRR2167785_prok_03750","SRR2171381__prok_01102","SRR2171418__prok_00854","SRR3954738__prok_01736","SRR3954739__prok_01005","SRR3954741__prok_02306","SRR3954742__prok_01977","SRR3954743__prok_01013","SRR3954744__prok_00428","SRR3954745__prok_00878","SRR3954747__prok_03177","SRR4420705__prok_02271"
"group_3654","","hypothetical protein","18","18","1","1","5343","","","","1025","1025","1025","SRR1617632__prok_01418","SRR1656267_prok_00682","SRR1656269__prok_01839","SRR1656335__prok_00868","SRR1656350__prok_00743","SRR2164311__prok_00952","SRR2167785_prok_03755","SRR2171381__prok_01107","SRR2171418__prok_00849","SRR3954738__prok_01731","SRR3954739__prok_01000","SRR3954741__prok_02301","SRR3954742__prok_01972","SRR3954743__prok_01008","SRR3954744__prok_00433","SRR3954745__prok_00873","SRR3954747__prok_03172","SRR4420705__prok_02276"
"maf","","Septum formation protein Maf","18","18","1","1","5339","","","","575","575","575","SRR1617632__prok_01422","SRR1656267_prok_00686","SRR1656269__prok_01843","SRR1656335__prok_00872","SRR1656350__prok_00739","SRR2164311__prok_00948","SRR2167785_prok_03759","SRR2171381__prok_01111","SRR2171418__prok_00845","SRR3954738__prok_01727","SRR3954739__prok_00996","SRR3954741__prok_02297","SRR3954742__prok_01968","SRR3954743__prok_01004","SRR3954744__prok_00437","SRR3954745__prok_00869","SRR3954747__prok_03168","SRR4420705__prok_02280"
"obg","","GTPase Obg","18","18","1","1","5305","","","","1286","1286","1286","SRR1617632__prok_01436","SRR1656267_prok_00700","SRR1656269__prok_01857","SRR1656335__prok_00886","SRR1656350__prok_00725","SRR2164311__prok_00934","SRR2167785_prok_03796","SRR2171381__prok_01125","SRR2171418__prok_00831","SRR3954738__prok_01713","SRR3954739__prok_00982","SRR3954741__prok_02283","SRR3954742__prok_01954","SRR3954743__prok_00990","SRR3954744__prok_00451","SRR3954745__prok_00855","SRR3954747__prok_03154","SRR4420705__prok_02294"
"yxdL_2","","ABC transporter ATP-binding protein YxdL","18","18","1","1","5302","","","","455","776","758","SRR1617632__prok_01439","SRR1656267_prok_00703","SRR1656269__prok_01860","SRR1656335__prok_00889","SRR1656350__prok_00722","SRR2164311__prok_00931","SRR2167785_prok_03799","SRR2171381__prok_01128","SRR2171418__prok_00828","SRR3954738__prok_01710","SRR3954739__prok_00979","SRR3954741__prok_02280","SRR3954742__prok_01951","SRR3954743__prok_00987","SRR3954744__prok_00454","SRR3954745__prok_00852","SRR3954747__prok_03151","SRR4420705__prok_03858"
"pheA","","Prephenate dehydratase","18","18","1","1","5299","","","","851","851","851","SRR1617632__prok_01442","SRR1656267_prok_00706","SRR1656269__prok_01863","SRR1656335__prok_00892","SRR1656350__prok_00719","SRR2164311__prok_00928","SRR2167785_prok_03802","SRR2171381__prok_01131","SRR2171418__prok_00825","SRR3954738__prok_01707","SRR3954739__prok_00976","SRR3954741__prok_02277","SRR3954742__prok_01948","SRR3954743__prok_00984","SRR3954744__prok_00457","SRR3954745__prok_00849","SRR3954747__prok_03148","SRR4420705__prok_03855"
"group_3659","","hypothetical protein","18","18","1","1","5291","","","","641","644","643","SRR1617632__prok_01450","SRR1656267_prok_00714","SRR1656269__prok_01871","SRR1656335__prok_00900","SRR1656350__prok_00711","SRR2164311__prok_00920","SRR2167785_prok_00713","SRR2171381__prok_01139","SRR2171418__prok_00818","SRR3954738__prok_01699","SRR3954739__prok_00968","SRR3954741__prok_02269","SRR3954742__prok_01940","SRR3954743__prok_00976","SRR3954744__prok_00465","SRR3954745__prok_00841","SRR3954747__prok_03140","SRR4420705__prok_03768"
"group_3663","","hypothetical protein","18","18","1","1","5279","","","","260","260","260","SRR1617632__prok_01461","SRR1656267_prok_00723","SRR1656269__prok_01880","SRR1656335__prok_00910","SRR1656350__prok_00701","SRR2164311__prok_00909","SRR2167785_prok_00702","SRR2171381__prok_01148","SRR2171418__prok_00806","SRR3954738__prok_01688","SRR3954739__prok_00957","SRR3954741__prok_02258","SRR3954742__prok_01929","SRR3954743__prok_00965","SRR3954744__prok_00476","SRR3954745__prok_00830","SRR3954747__prok_03129","SRR4420705__prok_03759"
"group_3664","","hypothetical protein","18","18","1","1","5274","","","","1532","2264","2223","SRR1617632__prok_01466","SRR1656267_prok_00728","SRR1656269__prok_01885","SRR1656335__prok_00915","SRR1656350__prok_00696","SRR2164311__prok_00904","SRR2167785_prok_00697","SRR2171381__prok_01153","SRR2171418__prok_00801","SRR3954738__prok_01683","SRR3954739__prok_00952","SRR3954741__prok_02253","SRR3954742__prok_01924","SRR3954743__prok_00960","SRR3954744__prok_00481","SRR3954745__prok_00825","SRR3954747__prok_03124","SRR4420705__prok_03726"
"fieF_1","","Ferrous-iron efflux pump FieF","18","18","1","1","5273","","","","893","896","894","SRR1617632__prok_01467","SRR1656267_prok_00729","SRR1656269__prok_01886","SRR1656335__prok_00916","SRR1656350__prok_00695","SRR2164311__prok_00903","SRR2167785_prok_00696","SRR2171381__prok_01154","SRR2171418__prok_00800","SRR3954738__prok_01682","SRR3954739__prok_00951","SRR3954741__prok_02252","SRR3954742__prok_01923","SRR3954743__prok_00959","SRR3954744__prok_00482","SRR3954745__prok_00824","SRR3954747__prok_03123","SRR4420705__prok_03725"
"dtd","","D-aminoacyl-tRNA deacylase","18","18","1","1","5269","","","","440","440","440","SRR1617632__prok_01471","SRR1656267_prok_00733","SRR1656269__prok_01890","SRR1656335__prok_00920","SRR1656350__prok_00691","SRR2164311__prok_00899","SRR2167785_prok_00692","SRR2171381__prok_01158","SRR2171418__prok_00796","SRR3954738__prok_01678","SRR3954739__prok_00947","SRR3954741__prok_02248","SRR3954742__prok_01919","SRR3954743__prok_00955","SRR3954744__prok_00486","SRR3954745__prok_00820","SRR3954747__prok_03119","SRR4420705__prok_03721"
